Имя,IP,Статус
Альмтвс5,10.6.13.181,✅ Доступен (Ping + порт 80)
Ижевск12,10.43.21.210,✅ Доступен (Ping + порт 80)
Ижевск12,10.43.21.211,✅ Доступен (Ping + порт 80)
Ижевск3,10.43.12.210,✅ Доступен (Ping + порт 80)
Ижевск3,10.43.12.211,✅ Доступен (Ping + порт 80)
Ижевск3,10.43.12.212,✅ Доступен (Ping + порт 80)
Ижевск4,10.43.13.210,✅ Доступен (Ping + порт 80)
Ижевск4,10.43.13.211,✅ Доступен (Ping + порт 80)
Ижевск9,10.43.17.210,✅ Доступен (Ping + порт 80)
Ижевск9,10.43.17.211,✅ Доступен (Ping + порт 80)
Ижевск13,10.43.22.210,✅ Доступен (Ping + порт 80)
Ижевск13,10.43.22.211,❌ Нет ответа
Йошкар3,10.46.12.158,✅ Доступен (Ping + порт 80)
Йошкар3,10.46.12.195,✅ Доступен (Ping + порт 80)
Йошкар6,10.46.14.210,✅ Доступен (Ping + порт 80)
Казань12,10.47.12.210,✅ Доступен (Ping + порт 80)
Казань15,10.47.20.210,✅ Доступен (Ping + порт 80)
Казань15,10.47.20.211,✅ Доступен (Ping + порт 80)
Казань2,10.47.14.210,❌ Нет ответа
Казань28,10.47.18.210,❌ Нет ответа
Казань29,10.47.18.210,❌ Нет ответа
Казань30,10.47.31.210,✅ Доступен (Ping + порт 80)
Казань30,10.47.31.211,✅ Доступен (Ping + порт 80)
Казань30,10.47.31.212,✅ Доступен (Ping + порт 80)
Казань30,10.47.31.213,❌ Нет ответа
Казань30,10.47.31.214,✅ Доступен (Ping + порт 80)
Казань30,10.47.31.215,✅ Доступен (Ping + порт 80)
Казань31,10.47.32.187,✅ Доступен (Ping + порт 80)
Киров,10.52.11.211,✅ Доступен (Ping + порт 80)
Киров4,10.52.14.210,✅ Доступен (Ping + порт 80)
Киров6,10.59.11.210,❌ Ответ от другого IP: 192.168.33.13
Киров7,10.52.13.210,✅ Доступен (Ping + порт 80)
Киров7,10.52.13.211,✅ Доступен (Ping + порт 80)
Киров9,10.52.17.210,✅ Доступен (Ping + порт 80)
Киров9,10.52.17.211,✅ Доступен (Ping + порт 80)
Киров9,10.52.17.212,✅ Доступен (Ping + порт 80)
Киров9,10.52.17.213,✅ Доступен (Ping + порт 80)
НабЧел6,10.79.14.210,✅ Доступен (Ping + порт 80)
НабЧел6,10.79.14.211,✅ Доступен (Ping + порт 80)
Нижнекм6,10.175.14.210,✅ Доступен (Ping + порт 80)
Нижнекм6,10.175.14.211,✅ Доступен (Ping + порт 80)
Нижнекм6,10.175.14.212,✅ Доступен (Ping + порт 80)
Чайквск,10.109.17.210,✅ Доступен (Ping + порт 80)
Чебоксар,10.157.11.210,✅ Доступен (Ping + порт 80)
Чебоксар,10.157.11.211,✅ Доступен (Ping + порт 80)
Чебокср3,10.157.13.210,✅ Доступен (Ping + порт 80)
Чебокср3,10.157.13.211,✅ Доступен (Ping + порт 80)
Чебокср6,10.157.16.210,✅ Доступен (Ping + порт 80)
Чебокср6,10.157.16.211,✅ Доступен (Ping + порт 80)
